1/1000	9.76367640903586e-9
11/1000	8.766068349402856e-7
21/1000	2.895345593084686e-6
31/1000	5.916193312152651e-6
41/1000	9.85503191931747e-6
51/1000	0.000014652331636652582
61/1000	0.000020261883694930316+1.6579879792299086*^-16*I
71/1000	0.000026645890703794195
81/1000	0.00003377236343632406
91/1000	0.000041613569220042
101/1000	0.00005014503096052725
111/1000	0.00005934484315824051
121/1000	0.00006919318355910753
131/1000	0.00007967195220472123-2.708833466198119*^-16*I
141/1000	0.0000907644970294108
151/1000	0.00010245540035848377
161/1000	0.00011473030949266105
171/1000	0.00012757580002355218
181/1000	0.00014097926393383253
191/1000	0.000154928816839775
201/1000	0.0001694132202309656
211/1000	0.00018442181564480575
221/1000	0.0001999444684451651
231/1000	0.00021597151942251425+2.7088308828507508*^-16*I
241/1000	0.00023249374283015878
251/1000	0.00024950230975989696
261/1000	0.0002669887559903633
271/1000	0.00028494495360485705
281/1000	0.00030336308581387084
291/1000	0.00032223562451128007
301/1000	0.00034155531019319785
311/1000	0.0003613151339011411
321/1000	0.0003815083209490755
331/1000	0.0004021283161817907
341/1000	0.0004231687705996967
351/1000	0.00044462352916932457
361/1000	0.0004664866196956441
371/1000	0.0004887522426291341
381/1000	0.0005114147617074349-5.911460129316029*^-16*I
391/1000	0.0005344686953423633-1.6579389625860291*^-16*I
401/1000	0.0005579087086777512
411/1000	0.0005817296062454319-2.708794715987601*^-16*I
421/1000	0.0006059263251647629
431/1000	0.0006304939288325345-2.708815382766544*^-16*I
441/1000	0.0006554276010525689
451/1000	0.0006807226405735473+5.911459424614983*^-16*I
461/1000	0.0007063744559896584
471/1000	0.0007323785609781447
481/1000	0.0007587305698422142
491/1000	0.0007854261933328832
501/1000	0.0008124612347298749
511/1000	0.0008398315861584682
521/1000	0.0008675332251227991
531/1000	0.0008955622112419293
541/1000	0.000923914683169727-2.708794715987601*^-16*I
551/1000	0.0009525868556877759
561/1000	0.0009815750169580445
571/1000	0.0010108755259198993
581/1000	0.0010404848098302527
591/1000	0.0010703993619234908
601/1000	0.001100615739201824
611/1000	0.00113113056032145
621/1000	0.0011619405035985242
631/1000	0.001193042305101269+2.708794715987601*^-16*I
641/1000	0.0012244327568351893
651/1000	0.0012561087050171338-5.9114551964087055*^-16*I
661/1000	0.0012880670484247125
671/1000	0.0013203047368235826
681/1000	0.0013528187694638594
691/1000	0.0013856062371856714
701/1000	0.0014186641481433587
711/1000	0.0014519896839573776+0.*I
721/1000	0.0014855800280530462
731/1000	0.0015194324067460963
741/1000	0.001553544088086098
751/1000	0.0015879123807411022+0.*I
761/1000	0.0016225346329356433
771/1000	0.0016574082314226024
781/1000	0.0016925306005008134
791/1000	0.001727899201066696
801/1000	0.0017635115297028325+0.*I
811/1000	0.0017993651178014047
821/1000	0.001835457530720716
831/1000	0.0018717863669692747
841/1000	0.0019083492574219901-5.911690331237807*^-16*I
851/1000	0.0019451438645623625-5.911690331237807*^-16*I
861/1000	0.0019821678817558003
871/1000	0.002019419032540312+0.*I
881/1000	0.002056895069949549
891/1000	0.0020945937758531374
901/1000	0.0021325129603238097
911/1000	0.0021706504610192467-2.712480006563251*^-16*I
921/1000	0.0022090041425910922
931/1000	0.002247571896108108
941/1000	0.002286351638502257
951/1000	0.002325341312025539
961/1000	0.002364538883731865
971/1000	0.0024039423449704334
981/1000	0.0024435497108940135-5.911690331237807*^-16*I
991/1000	0.002483359019984227
1001/1000	0.00252336833359304+2.712480006563251*^-16*I
1011/1000	0.0025635757354901395
1021/1000	0.0026039793314337895
1031/1000	0.0026445772487468377
1041/1000	0.0026853676359080703
1051/1000	0.0027263486621551952-5.911690331237807*^-16*I
1061/1000	0.0027675185170959182
1071/1000	0.002808875410335726
1081/1000	0.0028504175711120405+0.*I
1091/1000	0.0028921432479360187
1101/1000	0.0029340507082509376+0.*I
1111/1000	0.002976138238095574+0.*I
1121/1000	0.003018404141774275
1131/1000	0.0030608467415422225
1141/1000	0.0031034643772930165
1151/1000	0.0031462554062564457-2.712480006563251*^-16*I
1161/1000	0.0031892182027074972
1171/1000	0.00323235115767391
1181/1000	0.003275652678663407
1191/1000	0.003319121189385821
1201/1000	0.0033627551294906632
1211/1000	0.0034065529543067935
1221/1000	0.0034505131345894946
1231/1000	0.003494634156273796+0.*I
1241/1000	0.0035389145202355116
1251/1000	0.0035833527420542494
1261/1000	0.003627947351783914
1271/1000	0.0036726968937312726
1281/1000	0.003717599926233328
1291/1000	0.0037626550214471116+0.*I
1301/1000	0.0038078607651395174
1311/1000	0.003853215756481773
1321/1000	0.003898718607851237
1331/1000	0.003944367944637248
1341/1000	0.003990162405049999+0.*I
1351/1000	0.004036100639930901
1361/1000	0.004082181312574554
1371/1000	0.004128403098548422+0.*I
1381/1000	0.004174764685516905
1391/1000	0.0042212647730737185
1401/1000	0.004267902072570134
1411/1000	0.004314675306954965
1421/1000	0.004361583210611586
1431/1000	0.004408624529204555
1441/1000	0.0044557980195198965
1451/1000	0.004503102449320798-2.7124386167714367*^-16*I
1461/1000	0.004550536597196217
1471/1000	0.004598099252416096
1481/1000	0.004645789214791779
1491/1000	0.004693605294535899
1501/1000	0.004741546312124742
1511/1000	0.004789611098168084
1521/1000	0.00483779849327616
1531/1000	0.004886107347930421
1541/1000	0.004934536522359326
1551/1000	0.004983084886413663
1561/1000	0.005031751319446984+5.911686102866373*^-16*I
1571/1000	0.0050805347101949005
1581/1000	0.005129433956657492
1591/1000	0.005178447965989347
1601/1000	0.0052275756543815055+0.*I
1611/1000	0.00527681594695574+0.*I
1621/1000	0.005326167777651991
1631/1000	0.0053756300891262265
1641/1000	0.005425201832642126
1651/1000	0.005474881967970968
1661/1000	0.005524669463290693+0.*I
1671/1000	0.005574563295084892
1681/1000	0.0056245624480487505
1691/1000	0.005674665914988927
1701/1000	0.005724872696734898
1711/1000	0.005775181802043214
1721/1000	0.005825592247505784
1731/1000	0.005876103057465221
1741/1000	0.005926713263921635+0.*I
1751/1000	0.005977421906451244-5.911686102866373*^-16*I
1761/1000	0.006028228032118804
1771/1000	0.006079130695393897-5.911686102866373*^-16*I
1781/1000	0.006130128958070566
1791/1000	0.006181221889187252+5.911680465037792*^-16*I
1801/1000	0.006232408564943684
1811/1000	0.006283688068626725
1821/1000	0.006335059490532133
1831/1000	0.006386521927888189
1841/1000	0.006438074484783243
1851/1000	0.006489716310361743-5.748195384764141*^-17*I
1861/1000	0.006541446446082025
1871/1000	0.0065932640540338205-1.8747448347761819*^-16*I
1881/1000	0.00664516826501918+8.625169775734892*^-16*I
1891/1000	0.006697158216344298
1901/1000	0.0067492330517537474
1911/1000	0.006801391921360797-8.386975855519021*^-17*I
1921/1000	0.0068536339815816055+5.911748057329571*^-16*I
1931/1000	0.006905958395073991+8.386975855519021*^-17*I
1941/1000	0.006958364330670694
1951/1000	0.00701085096331816
1961/1000	0.007063417474013997-5.745385905103943*^-17*I
1971/1000	0.007116063049746046
1981/1000	0.007168786883433115+8.386975855519021*^-17*I
1991/1000	0.007221588173866242+8.386975855519021*^-17*I
2001/1000	0.007274466125648457+0.*I
2011/1000	0.007327419949139907
2021/1000	0.007380448860399472
2031/1000	0.00743355208112971
2041/1000	0.007486728838622614
2051/1000	0.007539978365703234-5.072946669731305*^-16*I
2061/1000	0.007593299900679293
2071/1000	0.007646692687287127+6.486564776864168*^-16*I
2081/1000	0.0077001559746389114
2091/1000	0.007753689017171883-2.713401016482558*^-16*I
2101/1000	0.00780729107459921+0.*I
2111/1000	0.007860961411859685
2121/1000	0.007914699299066172
2131/1000	0.007968504011461236+0.*I
2141/1000	0.0080223748293662+5.748195384764141*^-17*I
2151/1000	0.008076311038136372
2161/1000	0.008130311928112227
2171/1000	0.008184376794574802
2181/1000	0.008238504937700855+0.*I
2191/1000	0.008292695662517752+0.*I
2201/1000	0.008346948278858735
2211/1000	0.008401262101321152
2221/1000	0.008455636449220108
2231/1000	0.008510070646551848+5.751004864424338*^-17*I
2241/1000	0.008564564021945512+5.911746647858663*^-16*I
2251/1000	0.008619115908626795-8.385951929764471*^-17*I
2261/1000	0.008673725644374186+8.38390407825537*^-17*I
2271/1000	0.00872839257148035
2281/1000	0.008783116036712502
2291/1000	0.008837895391271944
2301/1000	0.008892729990754716
2311/1000	0.00894761919511819+2.6349470653401334*^-17*I
2321/1000	0.009002562368636585
2331/1000	0.009057558879868463
2341/1000	0.00911260810161818
2351/1000	0.009167709410899255+0.*I
2361/1000	0.009222862188900297+0.*I
2371/1000	0.00927806582094573-5.911743828916848*^-16*I
2381/1000	0.009333319696465323
2391/1000	0.009388623208957197
2401/1000	0.009443975755952475-5.911743828916848*^-16*I
2411/1000	0.00949937673898442
2421/1000	0.009554825563551445
2431/1000	0.00961032163908944+8.385951929764471*^-17*I
2441/1000	0.009665864378931896+0.*I
2451/1000	0.009721453200284488+5.911743828916848*^-16*I
2461/1000	0.009777087524189806
2471/1000	0.009832766775495438+5.742576425443747*^-17*I
2481/1000	0.009888490382825382
2491/1000	0.009944257778546198
2501/1000	0.010000068398738862+8.385951929764471*^-17*I
2511/1000	0.010055921683169738-6.486001471461222*^-16*I
2521/1000	0.010111817075257212
2531/1000	0.010167754022044354+8.38390407825537*^-17*I
2541/1000	0.010223731974171188
2551/1000	0.01027975038584425
2561/1000	0.010335808714808728+6.486566186335077*^-16*I
2571/1000	0.010391906422318825
2581/1000	0.010448042973114732+0.*I
2591/1000	0.010504217835389212
2601/1000	0.010560430480764785+5.472866378064782*^-17*I
2611/1000	0.010616680384264929
2621/1000	0.010672967024287897
2631/1000	0.010729289882581108+0.*I
2641/1000	0.010785648444214244
2651/1000	0.01084204219755383+5.742576425443747*^-17*I
2661/1000	0.010898470634238766-5.748195384764141*^-17*I
2671/1000	0.010954933249154114+8.385951929764471*^-17*I
2681/1000	0.011011429540407236
2691/1000	0.011067959009299841
2701/1000	0.011124521160310999
2711/1000	0.011181115501065056-8.385951929764471*^-17*I
2721/1000	0.011237741542311774+0.*I
